exp_name: dqn_experiment
seed: 1
track: false
wandb_project_name: cleanRL
wandb_entity: null
capture_video: false
save_model: false
upload_model: false
hf_entity: ''
agent: dqn
env_id: CartPole-v1
total_timesteps: 500000
learning_rate: 0.00025
num_envs: 1
buffer_size: 10000
gamma: 0.99
tau: 1.0
target_network_frequency: 500
batch_size: 128
start_e: 1.0
end_e: 0.05
exploration_fraction: 0.5
learning_starts: 10000
train_frequency: 10

[2024-05-20 15:29:15,967][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-05-20 15:29:15,977][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
global_step=28, episodic_return=[29.]
global_step=38, episodic_return=[10.]
global_step=49, episodic_return=[11.]
global_step=85, episodic_return=[36.]
global_step=98, episodic_return=[13.]
global_step=114, episodic_return=[16.]
global_step=131, episodic_return=[17.]
global_step=150, episodic_return=[19.]
global_step=187, episodic_return=[37.]
global_step=214, episodic_return=[27.]
global_step=229, episodic_return=[15.]
global_step=242, episodic_return=[13.]
global_step=265, episodic_return=[23.]
global_step=275, episodic_return=[10.]
global_step=304, episodic_return=[29.]
global_step=322, episodic_return=[18.]
global_step=333, episodic_return=[11.]
global_step=344, episodic_return=[11.]
global_step=390, episodic_return=[46.]
global_step=401, episodic_return=[11.]
global_step=433, episodic_return=[32.]
global_step=480, episodic_return=[47.]
global_step=496, episodic_return=[16.]
global_step=522, episodic_return=[26.]
global_step=556, episodic_return=[34.]
global_step=572, episodic_return=[16.]
global_step=591, episodic_return=[19.]
global_step=613, episodic_return=[22.]
global_step=637, episodic_return=[24.]
global_step=652, episodic_return=[15.]
global_step=663, episodic_return=[11.]
global_step=680, episodic_return=[17.]
global_step=693, episodic_return=[13.]
global_step=723, episodic_return=[30.]
global_step=739, episodic_return=[16.]
global_step=805, episodic_return=[66.]
global_step=836, episodic_return=[31.]
global_step=855, episodic_return=[19.]
global_step=880, episodic_return=[25.]
global_step=899, episodic_return=[19.]
global_step=909, episodic_return=[10.]
global_step=952, episodic_return=[43.]
global_step=973, episodic_return=[21.]
global_step=1005, episodic_return=[32.]
global_step=1016, episodic_return=[11.]
global_step=1064, episodic_return=[48.]
global_step=1088, episodic_return=[24.]
global_step=1100, episodic_return=[12.]
global_step=1113, episodic_return=[13.]
global_step=1125, episodic_return=[12.]
global_step=1148, episodic_return=[23.]
global_step=1166, episodic_return=[18.]
