exp_name: dqn-CartPole-v1
seed: 42
track: false
wandb_project_name: JAXRL-baselines
wandb_entity: sustech-emi-org
capture_video: false
save_model: false
upload_model: false
hf_entity: ''
agent: dqn
env_id: CartPole-v1
total_timesteps: 500000
learning_rate: 0.00025
num_envs: 1
buffer_size: 10000
gamma: 0.99
tau: 1.0
target_network_frequency: 500
batch_size: 128
start_e: 1.0
end_e: 0.05
exploration_fraction: 0.5
learning_starts: 10000
train_frequency: 10

random seed=42
[2024-05-21 23:11:21,722][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-05-21 23:11:21,726][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
global_step=29, episodic_return=[30.]
global_step=49, episodic_return=[20.]
global_step=69, episodic_return=[20.]
global_step=91, episodic_return=[22.]
global_step=117, episodic_return=[26.]
global_step=151, episodic_return=[34.]
global_step=185, episodic_return=[34.]
global_step=198, episodic_return=[13.]
global_step=226, episodic_return=[28.]
global_step=241, episodic_return=[15.]
global_step=270, episodic_return=[29.]
global_step=282, episodic_return=[12.]
global_step=307, episodic_return=[25.]
global_step=347, episodic_return=[40.]
global_step=386, episodic_return=[39.]
global_step=416, episodic_return=[30.]
global_step=433, episodic_return=[17.]
global_step=449, episodic_return=[16.]
global_step=471, episodic_return=[22.]
global_step=501, episodic_return=[30.]
global_step=521, episodic_return=[20.]
global_step=534, episodic_return=[13.]
global_step=550, episodic_return=[16.]
global_step=562, episodic_return=[12.]
global_step=576, episodic_return=[14.]
global_step=601, episodic_return=[25.]
global_step=612, episodic_return=[11.]
global_step=628, episodic_return=[16.]
global_step=648, episodic_return=[20.]
global_step=660, episodic_return=[12.]
global_step=681, episodic_return=[21.]
global_step=696, episodic_return=[15.]
global_step=729, episodic_return=[33.]
global_step=750, episodic_return=[21.]
global_step=765, episodic_return=[15.]
global_step=823, episodic_return=[58.]
global_step=864, episodic_return=[41.]
global_step=881, episodic_return=[17.]
global_step=898, episodic_return=[17.]
global_step=924, episodic_return=[26.]
global_step=946, episodic_return=[22.]
global_step=960, episodic_return=[14.]
global_step=984, episodic_return=[24.]
global_step=992, episodic_return=[8.]
global_step=1015, episodic_return=[23.]
global_step=1033, episodic_return=[18.]
global_step=1049, episodic_return=[16.]
global_step=1084, episodic_return=[35.]
global_step=1093, episodic_return=[9.]
global_step=1111, episodic_return=[18.]
global_step=1153, episodic_return=[42.]
global_step=1178, episodic_return=[25.]
global_step=1188, episodic_return=[10.]
global_step=1200, episodic_return=[12.]
global_step=1211, episodic_return=[11.]
global_step=1228, episodic_return=[17.]
global_step=1255, episodic_return=[27.]
global_step=1300, episodic_return=[45.]
global_step=1324, episodic_return=[24.]
global_step=1346, episodic_return=[22.]
global_step=1375, episodic_return=[29.]
global_step=1401, episodic_return=[26.]
global_step=1414, episodic_return=[13.]
global_step=1429, episodic_return=[15.]
global_step=1449, episodic_return=[20.]
global_step=1472, episodic_return=[23.]
global_step=1492, episodic_return=[20.]
global_step=1505, episodic_return=[13.]
global_step=1524, episodic_return=[19.]
global_step=1538, episodic_return=[14.]
global_step=1576, episodic_return=[38.]
global_step=1610, episodic_return=[34.]
global_step=1625, episodic_return=[15.]
global_step=1654, episodic_return=[29.]
global_step=1676, episodic_return=[22.]
global_step=1688, episodic_return=[12.]
global_step=1707, episodic_return=[19.]
global_step=1737, episodic_return=[30.]
global_step=1746, episodic_return=[9.]
global_step=1779, episodic_return=[33.]
global_step=1791, episodic_return=[12.]
global_step=1806, episodic_return=[15.]
global_step=1817, episodic_return=[11.]
global_step=1836, episodic_return=[19.]
global_step=1857, episodic_return=[21.]
global_step=1866, episodic_return=[9.]
global_step=1897, episodic_return=[31.]
global_step=1928, episodic_return=[31.]
global_step=1942, episodic_return=[14.]
global_step=1957, episodic_return=[15.]
global_step=1976, episodic_return=[19.]
global_step=2016, episodic_return=[40.]
global_step=2032, episodic_return=[16.]
global_step=2046, episodic_return=[14.]
global_step=2064, episodic_return=[18.]
global_step=2080, episodic_return=[16.]
global_step=2091, episodic_return=[11.]
global_step=2120, episodic_return=[29.]
global_step=2134, episodic_return=[14.]
global_step=2156, episodic_return=[22.]
global_step=2187, episodic_return=[31.]
global_step=2206, episodic_return=[19.]
global_step=2232, episodic_return=[26.]
global_step=2270, episodic_return=[38.]
global_step=2291, episodic_return=[21.]
global_step=2302, episodic_return=[11.]
global_step=2320, episodic_return=[18.]
global_step=2331, episodic_return=[11.]
global_step=2360, episodic_return=[29.]
global_step=2387, episodic_return=[27.]
global_step=2405, episodic_return=[18.]
